S_SRNUMBER1,M_RECORD_TYPE,M_RECORD_STATUS,M_CALL_RESULT,CIRCLE,Contacted / Not Contacted,Retained / Not Retained,RetainedCode,REGION,ZONE,Source,CC_REASON,CC_SUBREASON,Customer Segment,Service Segment,Customer Class
83120746,General,Updated,SIT RO,Karnataka,Contacted,Retained,,Bangalore,Bangalore South,Voice Call,Shifting,Customer shifting to non wired city,Consumer,Platinum,Home
83120806,General,Updated,Answer,Maharashtra,Not Contacted,Flow to Field,,PUNE,Pune,Email,Competition,"Same Rental, better benefits by competition",Business,Solitaire,Small Enterprise
83120806,General,Updated,Answer,Maharashtra,Not Contacted,Flow to Field,,PUNE,Pune,Email,Competition,"Same Rental, better benefits by competition",Business,Solitaire,Small Enterprise
83120822,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Walkin,Shifting,Shifting abroad,Consumer,Platinum,Individual
83120822,General,Ready,Others,Tamilnadu,Contacted,Retained,,Others,ZONE2,Walkin,Shifting,Shifting abroad,Consumer,Platinum,Individual
83120822,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Walkin,Shifting,Shifting abroad,Consumer,Platinum,Individual
83120822,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Walkin,Shifting,Shifting abroad,Consumer,Platinum,Individual
83120850,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,TRICHY,Trichy,Voice Call,Network Experience,Browsing Experience,Consumer,Gold,Individual
83121026,General,Updated,Answer,Mumbai,Not Contacted,Flow to Field,,Others,Thane and Raigad,Shifting Rejects,Shifting,Shifting reject- wired area,Business,Platinum,Micro
83121026,General,Updated,No Answer,Mumbai,Not Contacted,Flow to Field,,Others,Thane and Raigad,Shifting Rejects,Shifting,Shifting reject- wired area,Business,Platinum,Micro
83121026,General,Updated,Answer,Mumbai,Not Contacted,Flow to Field,,Others,Thane and Raigad,Shifting Rejects,Shifting,Shifting reject- wired area,Business,Platinum,Micro
83121120,General,Updated,Answer,Andhra Pradesh,Contacted,Not Retained,,Hyderabad,Hyderabad Zone1,Email,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Gold,Commercial
83121120,General,Updated,Answer,Andhra Pradesh,Contacted,Not Retained,,Hyderabad,Hyderabad Zone1,Email,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Gold,Commercial
83121216,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Voice Call,Low/No Usage,Usage shifted to Mobile/Dongle/Data card,Consumer,Gold,Home
83121368,General,Updated,Answer,Tamilnadu,Contacted,Retained,,MADURAI,Tirunelveli,Voice Call,Low/No Usage,Family member using net has moved out,Consumer,Platinum,Commercial
83121384,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,TRICHY,Trichy,Walkin,Low/No Usage,Branch Closed,Consumer,Platinum,Home
83121384,General,Updated,Abandoned,Tamilnadu,Contacted,Not Retained,,TRICHY,Trichy,Walkin,Low/No Usage,Branch Closed,Consumer,Platinum,Home
83121384,General,Updated,No Answer,Tamilnadu,Contacted,Not Retained,,TRICHY,Trichy,Walkin,Low/No Usage,Branch Closed,Consumer,Platinum,Home
83121516,General,Updated,Answer,Tamilnadu,Contacted,Flow to Field,,Others,ZONE1,Retention,Service Related,Complaint Resolution Pending,Consumer,Platinum,Home
83121516,General,Updated,Answer,Tamilnadu,Contacted,Flow to Field,,Others,ZONE1,Retention,Service Related,Complaint Resolution Pending,Consumer,Platinum,Home
83121516,General,Updated,No Answer,Tamilnadu,Contacted,Flow to Field,,Others,ZONE1,Retention,Service Related,Complaint Resolution Pending,Consumer,Platinum,Home
83121526,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE1,Shifting Rejects,Shifting,"Shifting to non wired area, within city",Consumer,Platinum,Individual
83121580,General,Updated,SIT RO,Tamilnadu,Not Contacted,Flow to Field,,TRICHY,Trichy,Voice Call,Low/No Usage,Excess Line,Consumer,Platinum,Commercial
83121580,General,Updated,SIT RO,Tamilnadu,Not Contacted,Flow to Field,,TRICHY,Trichy,Voice Call,Low/No Usage,Excess Line,Consumer,Platinum,Commercial
83121580,General,Updated,Dropped on No Answer,Tamilnadu,Not Contacted,Flow to Field,,TRICHY,Trichy,Voice Call,Low/No Usage,Excess Line,Consumer,Platinum,Commercial
83121622,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,Others,ZONE2,Email,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
83121716,General,Updated,Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore North,Out Call,Service Related,Poor Service at ARC's,Consumer,GoldNew,Individual
83122038,General,Updated,Answer,Kerala,Contacted,Retained,,Ernakulam,Ernakulam,Email,Network Experience,Browsing Experience,Consumer,Platinum,Individual
83122298,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore North,Email,Low/No Usage,User Shifting,Consumer,Platinum,Home
83122320,General,Updated,No Answer,Karnataka,Contacted,Flow to Field,,Bangalore,Bangalore East,Voice Call,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Home
83122320,General,Updated,Answer,Karnataka,Contacted,Flow to Field,,Bangalore,Bangalore East,Voice Call,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Home
83122320,General,Updated,No Answer,Karnataka,Contacted,Flow to Field,,Bangalore,Bangalore East,Voice Call,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Home
83122408,General,Updated,Answer,Mumbai,Contacted,Not Retained,,Others,Central Mumbai,Retention,Shifting,"Shifting to non wired area, within city",Consumer,Gold,Home
83122524,General,Updated,Answer,Tamilnadu,Contacted,Flow to Field,,Chennai,ZONE4,Email,Low/No Usage,Business Downsizing / Closed,Consumer,Platinum,Commercial
83122524,General,Updated,Answer,Tamilnadu,Contacted,Flow to Field,,Chennai,ZONE4,Email,Low/No Usage,Business Downsizing / Closed,Consumer,Platinum,Commercial
83122524,General,Updated,No Answer,Tamilnadu,Contacted,Flow to Field,,Chennai,ZONE4,Email,Low/No Usage,Business Downsizing / Closed,Consumer,Platinum,Commercial
83122580,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Walkin,Low/No Usage,Temporary Requirement,Consumer,Platinum,Home
83122580,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Walkin,Low/No Usage,Temporary Requirement,Consumer,Platinum,Home
83122580,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Walkin,Low/No Usage,Temporary Requirement,Consumer,Platinum,Home
83122698,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,Others,ZONE2,Voice Call,Low/No Usage,Family member using net has moved out,Consumer,GoldNew,Individual
83122698,General,Updated,Dropped on No Answer,Tamilnadu,Not Contacted,Flow to Field,,Others,ZONE2,Voice Call,Low/No Usage,Family member using net has moved out,Consumer,GoldNew,Individual
83122786,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Email,Low/No Usage,User Shifting,Consumer,Platinum,Individual
83122840,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,Others,ZONE1,Shifting Rejects,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,GoldNew,Individual
83122840,General,Updated,No Answer,Tamilnadu,Contacted,Not Retained,,Others,ZONE1,Shifting Rejects,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,GoldNew,Individual
83122942,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,Others,ZONE1,Email,Shifting,Customer already taken a new connection of airtel,Consumer,Platinum,Individual
83123010,General,Updated,Answer,Andhra Pradesh,Not Contacted,Flow to Field,,Hyderabad,Hyderabad Zone1,Out Call,Service Related,Poor Service at ARC's,Consumer,GoldNew,Commercial
83123010,General,Updated,Answer,Andhra Pradesh,Not Contacted,Flow to Field,,Hyderabad,Hyderabad Zone1,Out Call,Service Related,Poor Service at ARC's,Consumer,GoldNew,Commercial
83123010,General,Updated,Dropped on No Answer,Andhra Pradesh,Not Contacted,Flow to Field,,Hyderabad,Hyderabad Zone1,Out Call,Service Related,Poor Service at ARC's,Consumer,GoldNew,Commercial
83123018,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE4,Whitemail,Shifting,Shifting abroad,Consumer,Platinum,Individual
83123018,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE4,Whitemail,Shifting,Shifting abroad,Consumer,Platinum,Individual
83123018,General,Updated,SIT RO,Tamilnadu,Contacted,Retained,,Chennai,ZONE4,Whitemail,Shifting,Shifting abroad,Consumer,Platinum,Individual
83123044,General,Updated,Dropped on No Answer,Tamilnadu,Not Contacted,Flow to Field,,MADURAI,Nagercoil,Voice Call,Low/No Usage,Business Downsizing / Closed,Consumer,GoldNew,Individual
83123044,General,Updated,Abandoned,Tamilnadu,Not Contacted,Flow to Field,,MADURAI,Nagercoil,Voice Call,Low/No Usage,Business Downsizing / Closed,Consumer,GoldNew,Individual
83123044,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,MADURAI,Nagercoil,Voice Call,Low/No Usage,Business Downsizing / Closed,Consumer,GoldNew,Individual
83123336,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,Chennai,ZONE4,Walkin,Shifting,Shifting abroad,Consumer,Platinum,Individual
83123338,General,Updated,Answer,Tamilnadu,Contacted,Retained,,MADURAI,Tirunelveli,Out Call,Service Related,Poor Service at ARC's,Consumer,Gold,Individual
83123454,General,Updated,Answer,Maharashtra,Contacted,Not Retained,,PUNE,Pune,Email,Service Related,Complaint Resolution Pending,Consumer,Platinum,Home
83123454,General,Updated,Stale,Maharashtra,Contacted,Not Retained,,PUNE,Pune,Email,Service Related,Complaint Resolution Pending,Consumer,Platinum,Home
83123454,General,Updated,No Answer,Maharashtra,Contacted,Not Retained,,PUNE,Pune,Email,Service Related,Complaint Resolution Pending,Consumer,Platinum,Home
83123454,General,Updated,No Answer,Maharashtra,Contacted,Not Retained,,PUNE,Pune,Email,Service Related,Complaint Resolution Pending,Consumer,Platinum,Home
83123474,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,Others,ZONE1,AES Email,Low/No Usage,Branch Closed,Business,Platinum,Corporate
83123474,General,Updated,No Answer,Tamilnadu,Contacted,Not Retained,,Others,ZONE1,AES Email,Low/No Usage,Branch Closed,Business,Platinum,Corporate
83123474,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,Others,ZONE1,AES Email,Low/No Usage,Branch Closed,Business,Platinum,Corporate
83123626,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Whitemail,Shifting,Shifting abroad,Consumer,Platinum,Individual
83123638,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,Others,ZONE2,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Gold,Individual
83123732,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,MADURAI,Nagercoil,Voice Call,Low/No Usage,Business Downsizing / Closed,Consumer,GoldNew,Individual
83123732,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,MADURAI,Nagercoil,Voice Call,Low/No Usage,Business Downsizing / Closed,Consumer,GoldNew,Individual
83123752,General,Updated,Answer,Gujarat,Contacted,Retained,,AHMEDABAD,Ahmedabad,Email,Low/No Usage,Taken a new airtel connection,Consumer,Platinum,Commercial
83123752,General,Ready,Answer,Gujarat,Contacted,Retained,,AHMEDABAD,Ahmedabad,Email,Low/No Usage,Taken a new airtel connection,Consumer,Platinum,Commercial
83123798,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,Others,ZONE2,Email,Network Experience,Frequent Line Disconnection / Phone Dead,Consumer,Gold,Home
83123798,General,Updated,Dropped on No Answer,Tamilnadu,Not Contacted,Flow to Field,,Others,ZONE2,Email,Network Experience,Frequent Line Disconnection / Phone Dead,Consumer,Gold,Home
83123798,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,Others,ZONE2,Email,Network Experience,Frequent Line Disconnection / Phone Dead,Consumer,Gold,Home
83123858,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
83123890,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE1,Email,Low/No Usage,Taken a new airtel connection,Consumer,GoldNew,Individual
83123910,Campaign CallBack,Updated,Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Whitemail,Shifting,Shifting abroad,Consumer,Platinum,Individual
83123910,Campaign CallBack,Ready,Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Whitemail,Shifting,Shifting abroad,Consumer,Platinum,Individual
83123910,Campaign CallBack,Updated,Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Whitemail,Shifting,Shifting abroad,Consumer,Platinum,Individual
83123910,Campaign CallBack,Ready,Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Whitemail,Shifting,Shifting abroad,Consumer,Platinum,Individual
83123910,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Whitemail,Shifting,Shifting abroad,Consumer,Platinum,Individual
83123940,General,Updated,Answer,Tamilnadu,Contacted,Flow to Field,,Chennai,ZONE3,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
83123940,Campaign CallBack,Ready,Answer,Tamilnadu,Contacted,Flow to Field,,Chennai,ZONE3,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
83123940,General,Updated,Answer,Tamilnadu,Contacted,Flow to Field,,Chennai,ZONE3,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
83124006,General,Updated,Answer,Kerala,Contacted,Flow to Field,,Ernakulam,Ernakulam,Voice Call,Low/No Usage,User Shifting,Consumer,Gold,Individual
83124006,General,Updated,Answer,Kerala,Contacted,Flow to Field,,Ernakulam,Ernakulam,Voice Call,Low/No Usage,User Shifting,Consumer,Gold,Individual
83124006,General,Updated,Answer,Kerala,Contacted,Flow to Field,,Ernakulam,Ernakulam,Voice Call,Low/No Usage,User Shifting,Consumer,Gold,Individual
83124044,General,Updated,Abandoned,Tamilnadu,Not Contacted,Flow to Field,,Others,ZONE2,Walkin,Competition,BSNL - 1MBPS Throttle Speed,Consumer,GoldNew,Individual
83124044,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,Others,ZONE2,Walkin,Competition,BSNL - 1MBPS Throttle Speed,Consumer,GoldNew,Individual
83124048,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
83124048,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
83124048,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
83124170,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Coimbatore,Coimbatore,Voice Call,Low/No Usage,Family member using net has moved out,Consumer,Platinum,Individual
83124170,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Coimbatore,Coimbatore,Voice Call,Low/No Usage,Family member using net has moved out,Consumer,Platinum,Individual
83124170,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Coimbatore,Coimbatore,Voice Call,Low/No Usage,Family member using net has moved out,Consumer,Platinum,Individual
83124172,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Mysore,Mysore,Email,Shifting,Shifting abroad,Consumer,Gold,Home
83124172,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Mysore,Mysore,Email,Shifting,Shifting abroad,Consumer,Gold,Home
83124264,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Shimoga,Shimoga,Out Call,Service Related,Complaint Resolution Pending-Network,Consumer,GoldNew,Individual
83124264,General,Updated,No Answer,Karnataka,Contacted,Not Retained,,Shimoga,Shimoga,Out Call,Service Related,Complaint Resolution Pending-Network,Consumer,GoldNew,Individual
83124264,General,Updated,No Answer,Karnataka,Contacted,Not Retained,,Shimoga,Shimoga,Out Call,Service Related,Complaint Resolution Pending-Network,Consumer,GoldNew,Individual
83124264,Campaign CallBack,Ready,Answer,Karnataka,Contacted,Not Retained,,Shimoga,Shimoga,Out Call,Service Related,Complaint Resolution Pending-Network,Consumer,GoldNew,Individual
83124264,Campaign CallBack,Updated,Answer,Karnataka,Contacted,Not Retained,,Shimoga,Shimoga,Out Call,Service Related,Complaint Resolution Pending-Network,Consumer,GoldNew,Individual
83124284,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Voice Call,Shifting,Customer already taken a new connection of competition,Consumer,Platinum,Individual
83124284,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Voice Call,Shifting,Customer already taken a new connection of competition,Consumer,Platinum,Individual
83124284,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Voice Call,Shifting,Customer already taken a new connection of competition,Consumer,Platinum,Individual
83124292,General,Updated,Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore South,Email,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
83124364,General,Updated,Answer,Mumbai,Contacted,Not Retained,,Others,West Mumbai,Voice Call,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Home
83124364,General,Updated,Answer,Mumbai,Contacted,Not Retained,,Others,West Mumbai,Voice Call,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Home
83124372,General,Updated,No Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore South,Out Call,Network Experience,Delay in Fault Repair / Quality of Fault Repair,Consumer,Gold,Home
83124372,General,Updated,Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore South,Out Call,Network Experience,Delay in Fault Repair / Quality of Fault Repair,Consumer,Gold,Home
83124372,General,Updated,No Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore South,Out Call,Network Experience,Delay in Fault Repair / Quality of Fault Repair,Consumer,Gold,Home
83124394,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,Others,ZONE2,Email,Low/No Usage,Temporary Requirement,Consumer,GoldNew,Individual
83124394,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,Others,ZONE2,Email,Low/No Usage,Temporary Requirement,Consumer,GoldNew,Individual
83124428,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,MADURAI,Tirunelveli,Voice Call,Shifting,Shifting abroad,Consumer,Platinum,Individual
83124428,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,MADURAI,Tirunelveli,Voice Call,Shifting,Shifting abroad,Consumer,Platinum,Individual
83124436,General,Updated,Dropped on No Answer,Kerala,Not Contacted,Flow to Field,,Ernakulam,Ernakulam,Email,Low/No Usage,Excess Line,Consumer,Gold,Home
83124436,General,Updated,Answer,Kerala,Not Contacted,Flow to Field,,Ernakulam,Ernakulam,Email,Low/No Usage,Excess Line,Consumer,Gold,Home
83124436,General,Updated,Answer,Kerala,Not Contacted,Flow to Field,,Ernakulam,Ernakulam,Email,Low/No Usage,Excess Line,Consumer,Gold,Home
83124492,General,Ready,Answer,Gujarat,Contacted,Retained,,AHMEDABAD,Ahmedabad,Walkin,Low/No Usage,Temporary Requirement,Consumer,Gold,Home
83124492,General,Updated,Answer,Gujarat,Contacted,Retained,,AHMEDABAD,Ahmedabad,Walkin,Low/No Usage,Temporary Requirement,Consumer,Gold,Home
83124494,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,Chennai,ZONE3,Email,Shifting,Customer already taken a new connection of airtel,Consumer,GoldNew,Individual
83124494,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,Chennai,ZONE3,Email,Shifting,Customer already taken a new connection of airtel,Consumer,GoldNew,Individual
83124502,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,Others,VIRNAGAR,Voice Call,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,GoldNew,Individual
83124502,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,Others,VIRNAGAR,Voice Call,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,GoldNew,Individual
83124502,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,Others,VIRNAGAR,Voice Call,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,GoldNew,Individual
83124598,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,Others,ZONE2,Email,Shifting,Shifting abroad,Consumer,Platinum,Individual
83124598,General,Updated,No Answer,Tamilnadu,Contacted,Not Retained,,Others,ZONE2,Email,Shifting,Shifting abroad,Consumer,Platinum,Individual
83124598,General,Updated,Abandoned,Tamilnadu,Contacted,Not Retained,,Others,ZONE2,Email,Shifting,Shifting abroad,Consumer,Platinum,Individual
83124762,General,Updated,No Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore East,TITANIUM CC,Service Related,Wrong Resolution Given,Consumer,Gold,Individual
83124762,General,Updated,Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore East,TITANIUM CC,Service Related,Wrong Resolution Given,Consumer,Gold,Individual
83124762,General,Updated,No Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore East,TITANIUM CC,Service Related,Wrong Resolution Given,Consumer,Gold,Individual
83124826,General,Updated,Answer,Mumbai,Not Contacted,Flow to Field,,Others,West Mumbai,Retention,Low/No Usage,Temporary Requirement,Consumer,Gold,Home
83124826,General,Updated,Answer,Mumbai,Not Contacted,Flow to Field,,Others,West Mumbai,Retention,Low/No Usage,Temporary Requirement,Consumer,Gold,Home
83124826,General,Updated,Answer,Mumbai,Not Contacted,Flow to Field,,Others,West Mumbai,Retention,Low/No Usage,Temporary Requirement,Consumer,Gold,Home
83124840,General,Updated,Answer,Gujarat,Not Contacted,Flow to Field,,SURAT,Surat,Voice Call,Network Experience,Frequent Line Disconnection / Phone Dead,Consumer,GoldNew,Home
83124908,General,Updated,Dropped on No Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore East,Email,Affordability Issue,Product Expensive,Consumer,Platinum,Home
83124908,General,Updated,Dropped on No Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore East,Email,Affordability Issue,Product Expensive,Consumer,Platinum,Home
83124908,General,Updated,No Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore East,Email,Affordability Issue,Product Expensive,Consumer,Platinum,Home
83124908,General,Updated,Dropped on No Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore East,Email,Affordability Issue,Product Expensive,Consumer,Platinum,Home
83124942,Campaign CallBack,Ready,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE1,Email,Low/No Usage,Temporary Requirement,Consumer,GoldNew,Individual
83124942,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Retained,,Others,ZONE1,Email,Low/No Usage,Temporary Requirement,Consumer,GoldNew,Individual
83124942,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Others,ZONE1,Email,Low/No Usage,Temporary Requirement,Consumer,GoldNew,Individual
83124966,Campaign CallBack,Ready,Answer,Kerala,Contacted,Retained,,Calicut,Calicut,Walkin,Affordability Issue,Financial Inability,Consumer,GoldNew,Individual
83124966,General,Updated,No Answer,Kerala,Contacted,Retained,,Calicut,Calicut,Walkin,Affordability Issue,Financial Inability,Consumer,GoldNew,Individual
83124966,General,Updated,Abandoned,Kerala,Contacted,Retained,,Calicut,Calicut,Walkin,Affordability Issue,Financial Inability,Consumer,GoldNew,Individual
83124990,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Voice Call,Shifting,Shifting to non-wired area,Consumer,Platinum,Individual
83124990,General,Ready,Others,Tamilnadu,Contacted,Retained,,Others,ZONE2,Voice Call,Shifting,Shifting to non-wired area,Consumer,Platinum,Individual
83124990,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Voice Call,Shifting,Shifting to non-wired area,Consumer,Platinum,Individual
83124996,General,Updated,Answer,Tamilnadu,Contacted,Flow to Field,,Others,ZONE1,Shifting Rejects,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Individual
83124996,General,Updated,Answer,Tamilnadu,Contacted,Flow to Field,,Others,ZONE1,Shifting Rejects,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Individual
83124996,General,Updated,Answer,Tamilnadu,Contacted,Flow to Field,,Others,ZONE1,Shifting Rejects,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Individual
83125020,Campaign CallBack,Updated,Stale,Tamilnadu,Contacted,Retained,,Others,ZONE2,Email,Low/No Usage,Business Downsizing / Closed,Consumer,Platinum,Commercial
83125020,Campaign CallBack,Ready,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Email,Low/No Usage,Business Downsizing / Closed,Consumer,Platinum,Commercial
83125020,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Email,Low/No Usage,Business Downsizing / Closed,Consumer,Platinum,Commercial
83125020,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Email,Low/No Usage,Business Downsizing / Closed,Consumer,Platinum,Commercial
83125118,General,Updated,Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore South,Retention,Shifting,Customer shifting to non wired city,Consumer,GoldNew,Individual
83125118,General,Updated,Stale,Karnataka,Contacted,Retained,,Bangalore,Bangalore South,Retention,Shifting,Customer shifting to non wired city,Consumer,GoldNew,Individual
83125176,General,Updated,No Answer,Karnataka,Not Contacted,Flow to Field,,Bangalore,Bangalore South,Email,Low/No Usage,Temporary Requirement,Consumer,Platinum,Home
83125176,General,Updated,Dropped on No Answer,Karnataka,Not Contacted,Flow to Field,,Bangalore,Bangalore South,Email,Low/No Usage,Temporary Requirement,Consumer,Platinum,Home
83125176,General,Updated,No Answer,Karnataka,Not Contacted,Flow to Field,,Bangalore,Bangalore South,Email,Low/No Usage,Temporary Requirement,Consumer,Platinum,Home
83125176,General,Updated,No Answer,Karnataka,Not Contacted,Flow to Field,,Bangalore,Bangalore South,Email,Low/No Usage,Temporary Requirement,Consumer,Platinum,Home
83125214,General,Updated,No Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore South,Voice Call,Network Experience,Browsing Experience,Consumer,Platinum,Home
83125214,General,Updated,No Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore South,Voice Call,Network Experience,Browsing Experience,Consumer,Platinum,Home
83125214,General,Updated,Dropped on No Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore South,Voice Call,Network Experience,Browsing Experience,Consumer,Platinum,Home
83125214,General,Updated,No Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore South,Voice Call,Network Experience,Browsing Experience,Consumer,Platinum,Home
83125310,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE1,Voice Call,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Individual
83125310,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE1,Voice Call,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Individual
