S_SRNUMBER1,M_RECORD_TYPE,M_RECORD_STATUS,M_CALL_RESULT,CIRCLE,Contacted / Not Contacted,Retained / Not Retained,RetainedCode,REGION,ZONE,Source,CC_REASON,CC_SUBREASON,Customer Segment,Service Segment,Customer Class
83186930,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Email,Shifting,Customer shifting to non wired city,Consumer,Platinum,Individual
83187014,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore East,TITANIUM CC,Shifting,Already taken a competition connection,Consumer,Platinum,Home
83187014,General,Updated,Dropped on No Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore East,TITANIUM CC,Shifting,Already taken a competition connection,Consumer,Platinum,Home
83187014,General,Updated,Abandoned,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore East,TITANIUM CC,Shifting,Already taken a competition connection,Consumer,Platinum,Home
83187014,General,Updated,No Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore East,TITANIUM CC,Shifting,Already taken a competition connection,Consumer,Platinum,Home
83187014,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore East,TITANIUM CC,Shifting,Already taken a competition connection,Consumer,Platinum,Home
83187014,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore East,TITANIUM CC,Shifting,Already taken a competition connection,Consumer,Platinum,Home
83187014,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore East,TITANIUM CC,Shifting,Already taken a competition connection,Consumer,Platinum,Home
83187014,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore East,TITANIUM CC,Shifting,Already taken a competition connection,Consumer,Platinum,Home
83187014,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore East,TITANIUM CC,Shifting,Already taken a competition connection,Consumer,Platinum,Home
83187034,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,Coimbatore,Coimbatore,Walkin,Low/No Usage,Branch Closed,Consumer,GoldNew,Individual
83187144,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE4,Voice Call,Competition,Lower rental with same or higher speed/GB,Consumer,GoldNew,Individual
83187144,Campaign CallBack,Ready,Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE4,Voice Call,Competition,Lower rental with same or higher speed/GB,Consumer,GoldNew,Individual
83187198,General,Updated,Answer,Andhra Pradesh,Contacted,Not Retained,,Hyderabad,Hyderabad Zone1,TITANIUM CC,Shifting,Shifting to non-wired area,Consumer,Gold,Individual
83187466,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE1,TITANIUM CC,Network Experience,Delay in Fault Repair / Quality of Fault Repair,Consumer,Platinum,Individual
83187590,General,Updated,Answer,Tamilnadu,Not Contacted,Flow to Field,,Coimbatore,Coimbatore,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
83187590,General,Updated,Stale,Tamilnadu,Not Contacted,Flow to Field,,Coimbatore,Coimbatore,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
83187590,General,Updated,Dropped on No Answer,Tamilnadu,Not Contacted,Flow to Field,,Coimbatore,Coimbatore,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
83187596,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Mysore,Mysore,Shifting Rejects,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Gold,Home
83187596,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Mysore,Mysore,Shifting Rejects,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Gold,Home
83187596,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Mysore,Mysore,Shifting Rejects,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Gold,Home
83187596,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Mysore,Mysore,Shifting Rejects,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Gold,Home
83187596,General,Updated,Stale,Karnataka,Contacted,Not Retained,,Mysore,Mysore,Shifting Rejects,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Gold,Home
83187596,Campaign CallBack,Ready,Answer,Karnataka,Contacted,Not Retained,,Mysore,Mysore,Shifting Rejects,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Gold,Home
83187596,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Mysore,Mysore,Shifting Rejects,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Gold,Home
83187596,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Mysore,Mysore,Shifting Rejects,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Gold,Home
83187596,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Mysore,Mysore,Shifting Rejects,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Gold,Home
83187610,General,Updated,Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore East,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Home
83187610,General,Updated,Dropped on No Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore East,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Home
83187610,General,Updated,Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore East,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Home
83187670,General,Updated,Answer,Mumbai,Contacted,Not Retained,,Others,West Mumbai,Email,Low/No Usage,Branch/ Project Closed,Consumer,Gold,Home
